what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698502364923
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698502364973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502373963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1698502373993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502380953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698502385318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502386188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1698502386218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502389293
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698502392602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502392872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502401872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502408552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502416618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502416828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502418868
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698502422291
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1698502422441
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1698502422441
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698502434425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1698502437445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502440365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502445997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698502446817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698502463936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1698502482368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698502485171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1698502494871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698502498641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698502503001
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698502530154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502530444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502534824
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698502542158
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698502542378
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698502548188
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698502557096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698502568567
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698502571607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502571907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502576177
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698502579820
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698502580090
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698502585649
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698502627854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1698502649748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502650848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502691435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502710109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502822218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698502828607
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698502830917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502831217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502835707
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698502844417
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698502844687
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698502850319
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698502864956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1698502961165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698502962575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698503029559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698503060985
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698503064300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698503064590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698503069041
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698503072342
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698503072612
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698503078241
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698503091969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698503121769
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698503123878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698503124168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698503128567
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698503135515
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698503135765
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698503141392
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698503159213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698503213194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698503219483
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698503224671
